user	clicked_news	candidate_news	clicked
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N21013 N21297 N22485 N23141 N21607	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N21021 N21592 N22250 N21841 N21337	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N21756 N21609 N22257 N21867 N21357	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N21817 N21923 N22625 N21472 N23913	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N21725 N22580 N22941 N21098 N22921	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N21821 N22537 N22935 N21104 N22015	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N21811 N22522 N21362 N21105 N22503	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N21989 N22943 N22524 N22705 N21869	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N22718 N22014 N22864 N22934 N22657	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N22681 N22673 N21420 N22520 N21329	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N22795 N22782 N22104 N22815 N22266	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N22786 N21492 N22425 N22234 N22407	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N22237 N21019 N22716 N21488 N21868	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N22691 N22094 N21633 N23351 N21491	1 0 0 0 0
1	N2 N2445 N6043 N6053 N5917 N5555 N5733 N5701 N7710 N7501 N10948 N10900 N10714 N10764 N11798 N11892 N12074 N11739 N12525 N12673 N12677 N13295 N17088 N17095 N16982 N16929 N17723 N17617 N17535 N17915 N17998 N18434 N17973 N18848 N19743 N19339 N20093 N20349	N22874 N21739 N21447 N21052 N22790	1 0 0 0 0
2	N3 N57 N3374 N5701 N5590 N5874 N5805 N6477 N7376 N8055 N9159 N9940 N10051 N10311 N10769 N10784 N10714 N11450 N11570 N11814 N12407 N12478 N12826 N11739 N14144 N14718 N14912 N15243 N16298 N16303 N16673 N17258 N17095 N16929 N17566 N17617 N17885 N17797 N17949 N18359 N18434 N18550 N18504 N19272 N19533 N20324 N20430 N20449 N20581 N20769	N20781 N21180 N22011 N22508 N20972	1 0 0 0 0
2	N3 N57 N3374 N5701 N5590 N5874 N5805 N6477 N7376 N8055 N9159 N9940 N10051 N10311 N10769 N10784 N10714 N11450 N11570 N11814 N12407 N12478 N12826 N11739 N14144 N14718 N14912 N15243 N16298 N16303 N16673 N17258 N17095 N16929 N17566 N17617 N17885 N17797 N17949 N18359 N18434 N18550 N18504 N19272 N19533 N20324 N20430 N20449 N20581 N20769	N21084 N22219 N22444 N21662 N22489	1 0 0 0 0
