1	1	[[0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 113, 0, 0, 201, 63, 55, 0, 0, 201, 195, 270, 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 293, 0, 250, 43, 0, 0, 0, 0, 0, 55, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 0, 0], [195, 18, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 18, 195, 0, 195, 195, 0, 18, 195, 0, 195, 195, 195, 55, 195, 195, 195, 195, 195, 195, 195, 195, 195, 55, 195, 195, 195, 0, 195, 195, 0, 250, 55, 0, 195, 0, 0, 0, 195, 195, 195, 195, 195, 250, 195, 195, 195, 0, 195, 195, 195, 195, 195], [0]]	N42920 N101461 N26044 N95439 N67936 N91580 N55749 N128737 N128737 N213 N63787 N13301 N71068 N67386 N96968 N49927 N84642 N76155 N101423 N100063 N126736 N137 N55064 N37407 N64862 N129226 N35800 N96533 N21880 N50441 N2134 N100262 N87616 N46168 N30069 N84142 N62704 N108270 N100832 N56912 N97875 N52599 N104737 N54618 N13912 N28005 N74745 N48606 N19058 N118806 N101619 N67051 N20072 N71092 N51804 N5429 N29382 N17697 N87236 N78086 N17787 N1960 N11952 N63240	N71726-1 N77421-0 N34086-0 N129501-0 N116904-0	[{"news": 195, "finance": 18, "entertainment": 0, "tv": 0, "sports": 55, "movies": 250, "video": 0}, {"lifestyle": 158795, "health": 159416, "foodanddrink": 158431, "music": 151598, "travel": 157133, "autos": 159071, "weather": 149018, "kids": 139191, "middleeast": 158238, "games": 4998, "northamerica": 9294}, 110462]
2	2	[[0, 0, 0, 0, 110, 197, 370, 0, 0, 0, 0, 0, 380], [0, 110, 110, 0, 110, 380, 380, 0, 380, 110, 0, 0, 380], [0]]	N118027 N33543 N58808 N114493 N130283 N137 N110613 N109848 N27348 N74080 N128688 N23868 N108769	N76363-1 N91521-0 N60622-0 N39610-0 N45124-0	[{"sports": 0, "lifestyle": 110, "finance": 0, "news": 380, "music": 0}, {"tv": 159266, "health": 159416, "foodanddrink": 158431, "movies": 159907, "entertainment": 159569, "travel": 157133, "autos": 159071, "video": 154213, "weather": 149018, "kids": 139191, "middleeast": 158238, "games": 4998, "northamerica": 9294}, 110462]
3	3	[[0, 560, 534, 560, 515, 0, 692, 692, 692, 552, 657, 692, 60, 657, 60, 670, 0, 767, 692, 692, 747, 552, 0, 692, 173, 631, 0, 515, 0, 631, 680, 0, 324, 201, 0, 680, 0, 0, 698, 0, 60, 698, 0, 695, 0, 692, 0, 521, 0, 0, 557, 0, 134, 744, 387, 0, 0, 0, 695], [702, 702, 534, 689, 695, 689, 692, 692, 697, 697, 702, 692, 679, 692, 60, 679, 697, 679, 702, 692, 697, 692, 679, 692, 695, 679, 692, 695, 697, 692, 689, 697, 324, 697, 697, 689, 0, 679, 697, 692, 692, 702, 697, 689, 679, 697, 702, 679, 702, 692, 702, 702, 697, 702, 679, 0, 692, 679, 695], [631]]	N51082 N102643 N88075 N59447 N78130 N76823 N26745 N83462 N19175 N24446 N10917 N12070 N20428 N12445 N116442 N14205 N37271 N82045 N74996 N48114 N41702 N122784 N64450 N45529 N26986 N95088 N114616 N83623 N92073 N45234 N71843 N41525 N18720 N118153 N20749 N71843 N76141 N64300 N1886 N122427 N79026 N10490 N15167 N47589 N95250 N58220 N97080 N32253 N121652 N112615 N81058 N111058 N45543 N31193 N86409 N97020 N109512 N12893 N36704	N25492-1 N7041-0 N79990-0 N59303-0 N10470-0	[{"sports": 702, "entertainment": 534, "health": 689, "lifestyle": 695, "travel": 692, "foodanddrink": 692, "news": 697, "finance": 679, "movies": 692, "video": 60, "autos": 692, "music": 324, "tv": 0}, {"weather": 149018, "kids": 139191, "middleeast": 158238, "games": 4998, "northamerica": 9294}, 110462]
4	4	[[828, 0, 916, 0, 669, 829, 0, 951, 576, 0, 0, 583, 0, 957, 387, 635, 0, 951, 0, 873, 32, 0, 829, 0, 0, 774, 0, 1006, 0, 0, 957, 774, 1049, 828, 0, 559, 811, 0, 816, 0, 0, 0, 1006, 811, 0, 951, 0, 0, 0, 0, 0, 957, 0, 951, 811, 951, 583, 811, 583, 0, 310, 766, 0, 811, 1049, 793, 1006, 1026, 0, 0, 0, 819, 780, 1049, 0, 774, 615, 819, 0, 0, 0, 0, 0, 468, 957, 916, 1006, 951, 951, 819, 957, 954, 951, 0, 1006, 319, 21, 749, 1003, 766, 0, 0, 0, 951, 878, 951, 0, 0, 811, 0, 1049, 21, 1026, 360, 878, 0, 526, 856, 951, 583, 432, 951, 951, 811, 468, 0, 0, 869, 1049, 0, 0, 526, 951, 951, 576, 957, 0, 0, 0, 0, 869, 828, 916, 929, 829, 599, 0, 951, 1006, 957, 0, 916, 819, 951, 0, 0, 0, 583, 951, 811, 819, 916, 0, 951, 709, 0, 583, 939, 929, 583, 0, 0, 0, 0, 0, 951, 0, 1026, 1006, 0, 756, 571, 997, 861, 583, 957, 1006, 1049, 0, 571, 916, 811, 0, 997, 957, 916, 916, 1049, 583, 1049, 828, 1026, 957, 829, 951, 774, 957, 951, 0, 576, 576, 951, 951, 856, 951, 0, 0, 929, 822, 1006, 0, 951, 0, 36, 0, 989], [735, 1006, 951, 1000, 957, 957, 957, 1006, 957, 973, 957, 957, 735, 957, 951, 957, 952, 997, 916, 957, 957, 957, 951, 957, 973, 774, 957, 957, 957, 735, 957, 957, 1006, 957, 735, 951, 735, 957, 1006, 735, 973, 1000, 1006, 957, 957, 957, 957, 957, 0, 957, 957, 1006, 957, 951, 957, 957, 957, 1006, 957, 957, 957, 957, 735, 957, 1000, 1006, 1006, 957, 957, 957, 735, 973, 957, 957, 957, 957, 951, 973, 957, 957, 957, 1000, 951, 957, 957, 957, 1006, 951, 973, 951, 951, 952, 952, 916, 973, 951, 957, 957, 1006, 1006, 970, 1000, 0, 957, 957, 952, 957, 951, 957, 957, 957, 1006, 957, 1000, 970, 735, 957, 951, 957, 952, 735, 1000, 957, 957, 957, 957, 957, 1000, 957, 774, 957, 1000, 951, 957, 957, 1006, 970, 957, 957, 1000, 957, 952, 957, 1000, 957, 951, 957, 957, 1049, 957, 735, 957, 957, 957, 0, 0, 957, 957, 1000, 957, 957, 916, 951, 951, 951, 735, 957, 957, 957, 957, 957, 957, 951, 957, 951, 1000, 735, 957, 957, 957, 957, 1006, 1049, 1006, 997, 957, 970, 1000, 957, 1006, 951, 957, 957, 997, 957, 1000, 970, 1049, 957, 957, 957, 957, 957, 916, 957, 957, 957, 952, 957, 951, 957, 957, 957, 951, 951, 957, 1006, 957, 957, 957, 1000, 957, 957, 957, 951, 1006], [997]]	N92279 N82600 N58536 N88983 N53796 N88765 N127821 N27038 N123189 N112765 N93082 N26421 N51509 N4152 N86567 N126990 N36953 N12959 N62229 N74317 N36761 N47238 N80170 N70080 N110755 N6983 N89171 N48971 N77155 N2401 N9740 N124109 N128643 N14696 N114598 N33543 N12194 N118949 N42703 N84362 N92877 N66231 N128965 N64765 N124678 N31043 N98596 N9594 N129097 N37069 N51171 N9375 N53584 N31860 N59738 N112196 N52231 N95072 N92144 N95942 N115066 N130269 N58167 N126521 N90718 N15471 N454 N14240 N66877 N78831 N72432 N84904 N80686 N127916 N36246 N42209 N73122 N78998 N111794 N76183 N74980 N57590 N116801 N26206 N49347 N108284 N62401 N106288 N738 N51724 N121168 N7391 N13604 N67348 N88769 N27107 N39882 N95831 N119708 N125141 N43130 N28222 N34362 N82348 N129412 N31304 N65757 N54948 N4289 N59632 N111503 N62446 N69936 N67133 N27352 N116152 N95158 N111689 N126836 N91985 N102876 N51893 N117592 N79285 N66190 N29673 N119056 N98164 N88892 N6793 N8654 N59343 N24786 N48426 N58843 N123480 N57945 N78180 N117035 N110271 N73408 N76083 N83929 N37617 N34479 N3948 N105117 N94450 N71665 N101271 N86264 N7485 N37407 N77566 N84336 N84336 N99586 N92066 N102635 N29466 N5674 N36573 N4854 N107766 N33079 N19344 N84406 N71935 N73963 N66350 N68431 N63468 N122762 N1637 N54380 N118005 N33624 N50441 N79909 N77734 N56912 N94492 N73302 N119674 N112642 N21239 N104737 N72976 N30152 N15007 N79781 N19624 N8373 N81921 N74324 N102152 N12445 N61321 N78026 N80062 N74723 N128483 N49962 N83356 N8399 N71753 N1886 N26745 N82355 N54893 N108701 N86231 N1960 N59936 N82891 N68940 N57797 N114787 N34516 N83062 N127966 N37530 N112447 N87913 N118957 N65783	N104437-1 N25492-0 N10470-0 N98657-0 N104610-0	[{"health": 735, "tv": 1006, "lifestyle": 951, "finance": 1000, "news": 957, "sports": 973, "music": 957, "travel": 952, "foodanddrink": 997, "entertainment": 916, "autos": 774, "weather": 0, "movies": 970, "video": 1049}, {"kids": 139191, "middleeast": 158238, "games": 4998, "northamerica": 9294}, 110462]
5	1	[[0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 113, 0, 0, 201, 63, 55, 0, 0, 201, 195, 270, 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 293, 0, 250, 43, 0, 0, 0, 0, 0, 55, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 0, 0], [195, 18, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 18, 195, 0, 195, 195, 0, 18, 195, 0, 195, 195, 195, 55, 195, 195, 195, 195, 195, 195, 195, 195, 195, 55, 195, 195, 195, 0, 195, 195, 0, 250, 55, 0, 195, 0, 0, 0, 195, 195, 195, 195, 195, 250, 195, 195, 195, 0, 195, 195, 195, 195, 195], [0]]	N42920 N101461 N26044 N95439 N67936 N91580 N55749 N128737 N128737 N213 N63787 N13301 N71068 N67386 N96968 N49927 N84642 N76155 N101423 N100063 N126736 N137 N55064 N37407 N64862 N129226 N35800 N96533 N21880 N50441 N2134 N100262 N87616 N46168 N30069 N84142 N62704 N108270 N100832 N56912 N97875 N52599 N104737 N54618 N13912 N28005 N74745 N48606 N19058 N118806 N101619 N67051 N20072 N71092 N51804 N5429 N29382 N17697 N87236 N78086 N17787 N1960 N11952 N63240	N82850-1 N101083-0 N7416-0 N129501-0 N46367-0	[{"news": 195, "finance": 18, "entertainment": 0, "tv": 0, "sports": 55, "movies": 250, "video": 0}, {"lifestyle": 158795, "health": 159416, "foodanddrink": 158431, "music": 151598, "travel": 157133, "autos": 159071, "weather": 149018, "kids": 139191, "middleeast": 158238, "games": 4998, "northamerica": 9294}, 110462]
6	5	[[1463, 0, 0, 0, 0, 1397, 1772, 1750, 1411], [1758, 1758, 0, 1758, 1758, 1397, 1758, 1758, 1758], [0]]	N75836 N85278 N30502 N100851 N77826 N54893 N50653 N114787 N41709	N158-1 N32209-0 N95525-0 N37460-0 N94112-0	[{"news": 1758, "finance": 0, "lifestyle": 1397}, {"sports": 155646, "tv": 159266, "health": 159416, "foodanddrink": 158431, "movies": 159907, "music": 151598, "entertainment": 159569, "travel": 157133, "autos": 159071, "video": 154213, "weather": 149018, "kids": 139191, "middleeast": 158238, "games": 4998, "northamerica": 9294}, 110462]
7	6	[[1515, 1492, 1803, 1214, 1422, 846, 0, 1843, 1481, 1405, 767, 1762, 1665, 1461, 1620, 1803, 0, 1872, 1422, 1755, 1797, 1849, 0, 1657, 1797, 1797, 1803, 1872, 1515, 1797, 1785, 1797, 1165, 1872, 1645, 1429, 1797, 1832, 464, 1797, 1724, 1797, 0, 1803, 1843, 0, 0, 1872, 1762, 1797, 1797, 1797, 654, 1239, 1843, 1797, 1849, 1803, 0, 1733, 1485], [1849, 1838, 1803, 1214, 1422, 1849, 1828, 1843, 1849, 1849, 1799, 1799, 1803, 1803, 1838, 1803, 1803, 1828, 1799, 1828, 1799, 1849, 1429, 1799, 1799, 1797, 1803, 1849, 1849, 1803, 1803, 1797, 1843, 1799, 1799, 1429, 1799, 1838, 1799, 1799, 1799, 1799, 1849, 1803, 1838, 1422, 1828, 1872, 1828, 1799, 1838, 1803, 1849, 1799, 1849, 1803, 1849, 1799, 1799, 1872, 1872], [1835]]	N105630 N19347 N115019 N29315 N71496 N110755 N47900 N26834 N96764 N104938 N127567 N9524 N111348 N73122 N17746 N90686 N29153 N39375 N55714 N49839 N82348 N95420 N22273 N79285 N81080 N61928 N121168 N115359 N807 N88893 N114848 N80027 N7553 N50441 N79704 N9690 N43402 N112751 N34468 N88787 N73845 N6696 N97578 N91597 N81921 N72868 N124330 N121820 N102152 N19175 N84403 N13865 N88348 N8995 N23929 N75714 N5326 N1886 N29131 N1713 N101119	N119284-1 N32209-0 N79990-0 N98657-0 N111550-0	[{"sports": 1849, "foodanddrink": 1838, "tv": 1803, "entertainment": 1214, "music": 1422, "finance": 1828, "movies": 1843, "news": 1799, "lifestyle": 1803, "health": 1429, "weather": 1797, "travel": 1797, "autos": 1872}, {"video": 154213, "kids": 139191, "middleeast": 158238, "games": 4998, "northamerica": 9294}, 110462]
8	7	[[1669, 1774, 1340, 1687, 0, 0, 0, 0, 0, 890, 1386, 1669, 0, 139, 0, 890, 0, 1181, 1168, 0, 1632, 1864, 0, 0, 0, 0, 0, 1448, 0, 0, 0, 1177, 0, 614, 1177, 0, 277, 0, 0, 1907, 1864, 0, 0, 0, 0, 0, 0, 1500, 504, 0, 0, 0, 1226, 0, 0, 1669, 277, 894, 1809, 0, 1024, 0, 1086, 1434, 0, 0, 0, 0, 1429, 1809, 1884, 0, 1669, 1493, 0, 0, 751, 1177, 0, 819, 0, 1429, 0, 145, 0, 1907, 1809, 0, 1218, 145, 0, 0, 0, 0, 1434, 1855, 0, 277, 0, 0, 0, 1237, 0, 1767, 1815, 1441, 537, 1787, 0, 1677, 0, 504, 0, 1884, 0, 0, 1797, 1809, 1434, 0, 1657, 0, 1500, 0, 1907, 612, 0, 0, 0, 0, 1809, 0, 1809, 0, 1669, 0, 174, 1031, 961, 1031, 0, 1809, 0, 1767, 0, 0, 0, 174, 0, 0, 0, 0, 1669, 0, 1417, 1669, 0, 1251, 0, 1669, 0, 0, 1632, 0, 145, 1809, 803, 1736, 0, 1177, 1500, 1815, 37, 1686, 0, 0, 0, 0, 1669, 779, 1809, 1614, 1669, 537, 1434, 0, 0, 0, 0, 1651, 0, 1657, 1113, 0, 1815, 0, 1504, 922, 1497, 0], [1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1547, 1739, 1739, 1547, 1739, 1864, 1547, 1739, 1739, 1739, 1739, 1739, 1547, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1547, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1792, 1547, 1739, 1547, 1547, 1739, 1547, 1739, 1739, 1739, 1884, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1884, 1884, 1739, 1739, 1547, 1547, 1739, 1739, 1739, 1739, 1497, 1547, 1739, 1864, 1739, 1739, 1739, 1739, 1739, 1792, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1547, 1739, 1739, 1739, 1739, 1547, 1739, 1547, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1547, 1739, 1792, 1739, 1547, 1739, 1739, 1739, 1739, 1739, 1547, 1739, 1739, 1739, 1547, 1739, 1739, 1739, 0, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1792, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1547, 1739, 1739, 1739, 1739, 1547, 1739, 1547, 1739, 1739, 1547, 1739, 1739, 1739, 1739, 1739, 1736, 1547, 1739, 1739, 1547, 1739, 1739, 1547, 1739, 1739, 1864, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1739, 1864, 1739, 1739, 1739, 1739, 1547, 1739, 1739, 1792, 1547, 1497, 1547], [1448]]	N41484 N56381 N104299 N88765 N94249 N39081 N10355 N96998 N96120 N36761 N32369 N103851 N69362 N42825 N16208 N21689 N104805 N109833 N59893 N28876 N3567 N128965 N47233 N59630 N5243 N57782 N100201 N105990 N12139 N91231 N63260 N38556 N121012 N69599 N31266 N104760 N5163 N69977 N77935 N112324 N46786 N96436 N82845 N97713 N124941 N116768 N2141 N40401 N80359 N38061 N127392 N56087 N102417 N67124 N129625 N28921 N65411 N59111 N119177 N67410 N7711 N114130 N107876 N5122 N50086 N44753 N95184 N21707 N113417 N13604 N71728 N69442 N81982 N105154 N129987 N59828 N127644 N59520 N44960 N77742 N102285 N10737 N100182 N64642 N89612 N111503 N94655 N80399 N67133 N93895 N127380 N94737 N115158 N116781 N71529 N93049 N84061 N16070 N100091 N47046 N31344 N21550 N57583 N35440 N55064 N66350 N108548 N73963 N85587 N5674 N106036 N97161 N47142 N50441 N62 N85355 N21312 N118005 N43418 N61385 N33286 N102355 N91199 N114568 N100033 N122742 N10828 N106739 N128159 N896 N62704 N73202 N124194 N76305 N78179 N55867 N93987 N82243 N115087 N16356 N122596 N86761 N103107 N101578 N6139 N57217 N110092 N93987 N42284 N129046 N49796 N130208 N19624 N88421 N67698 N24446 N24280 N83042 N4687 N67051 N118189 N13952 N71753 N41176 N125820 N64492 N74205 N64926 N111504 N92244 N75836 N77135 N85278 N104558 N85100 N87186 N66752 N22677 N100519 N80506 N106889 N5429 N2743 N47967 N39317 N104494 N59960 N87781 N79926 N21010 N103432 N113908 N74186 N47797 N10015 N119536 N86409 N30791 N101119 N91556	N95605-1 N101083-0 N36428-0 N64544-0 N46367-0	[{"news": 1739, "sports": 1547, "tv": 1864, "finance": 1792, "travel": 1884, "autos": 1497, "entertainment": 0, "lifestyle": 1736}, {"health": 159416, "foodanddrink": 158431, "movies": 159907, "music": 151598, "video": 154213, "weather": 149018, "kids": 139191, "middleeast": 158238, "games": 4998, "northamerica": 9294}, 110462]
9	8	[[2534, 899, 193, 2569, 2374, 2644], [2569, 899, 899, 2569, 2374, 2644], [2607]]	N79724 N30267 N120860 N66107 N48606 N18956	N65783-1 N31855-0 N59646-0 N39109-0 N110521-0	[{"finance": 2569, "tv": 899, "entertainment": 2374, "movies": 2644}, {"news": 158330, "lifestyle": 158795, "sports": 155646, "health": 159416, "foodanddrink": 158431, "music": 151598, "travel": 157133, "autos": 159071, "video": 154213, "weather": 149018, "kids": 139191, "middleeast": 158238, "games": 4998, "northamerica": 9294}, 110462]
10	9	[[2455, 2618, 2805, 0, 2964, 2712, 2916, 1210, 3014, 2719, 311, 3185, 3090, 2958, 2964, 2910, 0, 323, 3014, 2330, 2157, 3122, 3087, 1660, 2902, 3045, 2255, 3142, 2209, 2712, 0, 0, 1329, 177, 947, 1160, 3065, 0, 2719, 0, 778, 3087, 1098, 778, 247, 2964, 1555, 2910, 2910, 2455, 3142, 2782, 3133, 0, 0, 3087, 3014, 3122, 3139, 2719, 0, 2496, 323, 2166, 2955, 3122, 794, 3087, 3087, 3087, 3052, 3122, 964, 3065, 2735, 3133, 2209, 2775, 2209, 3139, 3052, 3052, 3087, 3065, 2719, 0, 3065, 0, 435, 3093, 0, 2719, 3087, 3087, 1860, 2523, 1555, 3087, 2707, 3133, 3087, 3087, 512, 1660, 2815, 2771, 3142, 2815, 2947, 2455, 0, 2947, 3087, 3122, 3087, 3142, 2910, 3087, 3142, 2529, 3045, 3026, 2916, 2935, 3087, 3125, 2455, 2892, 3142, 3185, 3142, 0, 3087, 3142, 3087, 3087, 2215, 0, 2209, 2916, 2955, 1782, 1944, 3093, 0, 0, 2157, 3026, 2712, 3133, 3142], [3080, 3122, 3035, 3185, 3133, 3122, 3122, 3080, 3109, 3122, 3035, 3185, 3122, 3109, 3122, 3122, 3035, 3138, 3035, 3035, 3087, 3080, 3087, 3122, 3122, 3087, 3185, 3185, 3103, 3122, 3080, 3087, 3080, 3122, 3122, 3035, 3122, 3035, 3035, 3109, 3122, 3122, 3122, 3122, 3035, 3122, 3122, 3103, 3080, 3122, 3142, 3035, 3185, 3122, 3122, 3103, 3133, 3035, 3035, 3122, 3122, 3080, 3035, 3133, 3080, 3122, 3185, 3087, 3122, 3087, 3080, 3122, 3087, 3122, 3087, 3122, 3103, 3035, 3122, 3122, 3138, 3138, 3122, 3122, 3122, 3122, 3122, 3122, 3133, 3185, 3035, 3122, 3103, 3122, 3087, 3122, 3103, 3122, 3035, 3138, 3080, 3087, 3122, 3185, 3035, 3087, 3109, 3122, 3122, 3080, 3122, 3122, 3087, 3122, 3109, 3122, 3087, 3087, 3133, 3122, 3087, 3080, 3087, 3103, 3087, 3133, 3109, 3109, 3103, 3185, 3138, 3122, 3087, 3122, 3122, 3122, 3185, 3122, 3122, 3080, 3122, 3087, 3087, 3133, 3035, 3035, 3122, 3035, 3122, 3133, 3122], [2726]]	N7154 N104299 N105630 N46903 N92279 N123189 N104081 N47349 N122729 N26421 N60853 N128643 N116695 N16894 N24738 N47323 N35362 N96486 N119367 N88290 N110630 N47639 N43826 N21244 N130269 N50489 N16463 N454 N5305 N45706 N126328 N107215 N63011 N72505 N127631 N19557 N125282 N54042 N49623 N17987 N11663 N114735 N34389 N8676 N121394 N54723 N55635 N7992 N71068 N62880 N49262 N99962 N112665 N26621 N86006 N31304 N129412 N25463 N95420 N98573 N58318 N67133 N73505 N68426 N18399 N43358 N79746 N102399 N81080 N122167 N79724 N23898 N104927 N9473 N3948 N93049 N60132 N124506 N122671 N68960 N36573 N36573 N77566 N73963 N84406 N22642 N129836 N64159 N121964 N56204 N129892 N66350 N80027 N61712 N34519 N72590 N6846 N21880 N114335 N63174 N118005 N18389 N28812 N58112 N51431 N84454 N104737 N82746 N98095 N100670 N71912 N24446 N12070 N108312 N45529 N41702 N78130 N107191 N85063 N67911 N96539 N95088 N59033 N93636 N81364 N85924 N79026 N51804 N120854 N120031 N5653 N71022 N40765 N40009 N58220 N126027 N43087 N101806 N78008 N94230 N82055 N84433 N108063 N94901 N115695 N29760 N50536 N25492 N107862 N50831 N7041	N95605-1 N27933-0 N18956-0 N92613-0 N85504-0	[{"finance": 3080, "news": 3122, "sports": 3035, "tv": 3185, "health": 3133, "movies": 3109, "entertainment": 3138, "lifestyle": 3087, "foodanddrink": 3087, "travel": 3103, "video": 3142, "music": 3133, "weather": 3122}, {"autos": 159071, "kids": 139191, "middleeast": 158238, "games": 4998, "northamerica": 9294}, 110462]
